method,use_morphology,seed,stage,eval_task,success_rate,return_mean,episode_length_mean
single,False,0,after_T1,T1,1.0,16.41788669459529,23.575
single,False,0,after_T3,T3,1.0,17.208653056546655,24.825
single,False,1,after_T1,T1,1.0,18.96245811455038,31.1
single,False,1,after_T3,T3,1.0,17.073066200732974,24.475
single,False,2,after_T1,T1,1.0,15.879712871014661,21.675
single,False,2,after_T3,T3,1.0,14.96258184143306,18.95
single,False,3,after_T1,T1,1.0,18.419404749972266,28.775
single,False,3,after_T3,T3,1.0,18.83477057538077,29.125
single,False,4,after_T1,T1,1.0,17.4263031918935,25.375
single,False,4,after_T3,T3,1.0,16.67673392490827,23.25
multitask,False,0,after_joint,T1,1.0,18.827572608618304,30.5
multitask,False,0,after_joint,T3,0.0,0.13048646284639837,64.0
multitask,False,1,after_joint,T1,1.0,20.38039315865996,34.525
multitask,False,1,after_joint,T3,0.0,0.1395412229420617,64.0
multitask,False,2,after_joint,T1,1.0,15.958565453113852,22.075
multitask,False,2,after_joint,T3,0.0,-0.3243009823225439,64.0
multitask,False,3,after_joint,T1,0.0,-0.2458255502884276,64.0
multitask,False,3,after_joint,T3,1.0,15.062650425468798,19.35
multitask,False,4,after_joint,T1,1.0,16.99688129924855,24.45
multitask,False,4,after_joint,T3,0.0,-0.09784503290237624,64.0
finetune,False,0,after_T1,T1,1.0,16.41788669459529,23.575
finetune,False,0,after_T3,T1,0.0,-0.1249317367068143,64.0
finetune,False,0,after_T3,T3,1.0,16.42136933450907,23.325
finetune,False,1,after_T1,T1,1.0,18.96245811455038,31.1
finetune,False,1,after_T3,T1,0.0,-0.0023195202024653633,64.0
finetune,False,1,after_T3,T3,1.0,18.259397572832356,29.15
finetune,False,2,after_T1,T1,1.0,15.879712871014661,21.675
finetune,False,2,after_T3,T1,0.0,-0.387453680900333,64.0
finetune,False,2,after_T3,T3,1.0,18.169830533132227,29.25
finetune,False,3,after_T1,T1,1.0,18.419404749972266,28.775
finetune,False,3,after_T3,T1,0.0,-0.1300916651454754,64.0
finetune,False,3,after_T3,T3,1.0,16.547269852673896,22.9
finetune,False,4,after_T1,T1,1.0,17.4263031918935,25.375
finetune,False,4,after_T3,T1,0.0,-0.25179141587851334,64.0
finetune,False,4,after_T3,T3,1.0,17.46478157531667,27.675
kl,False,0,after_T1,T1,1.0,16.41788669459529,23.575
kl,False,0,after_T3,T1,1.0,17.32865634722242,28.075
kl,False,0,after_T3,T3,0.0,0.09369784047530265,64.0
kl,False,1,after_T1,T1,1.0,18.96245811455038,31.1
kl,False,1,after_T3,T1,1.0,19.265787457603953,31.975
kl,False,1,after_T3,T3,0.0,0.1804641273629386,64.0
kl,False,2,after_T1,T1,1.0,15.879712871014661,21.675
kl,False,2,after_T3,T1,1.0,17.711589719574725,28.175
kl,False,2,after_T3,T3,0.0,0.01836276352516142,64.0
kl,False,3,after_T1,T1,1.0,18.419404749972266,28.775
kl,False,3,after_T3,T1,0.975,20.405372384527617,35.725
kl,False,3,after_T3,T3,0.0,3.1435701511965677,64.0
kl,False,4,after_T1,T1,1.0,17.4263031918935,25.375
kl,False,4,after_T3,T1,1.0,19.268718221631225,31.825
kl,False,4,after_T3,T3,0.0,0.1258215488934657,64.0
reset,False,0,after_reset_T1,T1,1.0,16.41788669459529,23.575
reset,False,0,after_reset_T3,T3,1.0,17.208653056546655,24.825
reset,False,1,after_reset_T1,T1,1.0,18.96245811455038,31.1
reset,False,1,after_reset_T3,T3,1.0,17.073066200732974,24.475
reset,False,2,after_reset_T1,T1,1.0,15.879712871014661,21.675
reset,False,2,after_reset_T3,T3,1.0,14.96258184143306,18.95
reset,False,3,after_reset_T1,T1,1.0,18.419404749972266,28.775
reset,False,3,after_reset_T3,T3,1.0,18.83477057538077,29.125
reset,False,4,after_reset_T1,T1,1.0,17.4263031918935,25.375
reset,False,4,after_reset_T3,T3,1.0,16.67673392490827,23.25
single,True,0,after_T1,T1,1.0,17.0891645587514,25.675
single,True,0,after_T3,T3,1.0,16.5414666847958,23.35
single,True,1,after_T1,T1,1.0,15.447346012452329,20.2
single,True,1,after_T3,T3,1.0,15.944125509025563,21.575
single,True,2,after_T1,T1,1.0,16.312189069376124,22.65
single,True,2,after_T3,T3,1.0,15.149578495225574,19.75
single,True,3,after_T1,T1,1.0,18.37920122282116,28.5
single,True,3,after_T3,T3,1.0,15.272373858223613,19.55
single,True,4,after_T1,T1,1.0,17.5549373915793,26.425
single,True,4,after_T3,T3,1.0,16.067249565678164,21.7
multitask,True,0,after_joint,T1,1.0,18.90810110520564,32.275
multitask,True,0,after_joint,T3,1.0,22.15163049205515,41.15
multitask,True,1,after_joint,T1,1.0,17.173312051845652,25.15
multitask,True,1,after_joint,T3,1.0,16.734106524238616,24.15
multitask,True,2,after_joint,T1,1.0,22.332198060775617,41.825
multitask,True,2,after_joint,T3,1.0,17.879231161626105,26.4
multitask,True,3,after_joint,T1,0.0,0.11944678719039077,64.0
multitask,True,3,after_joint,T3,1.0,16.231420833695932,22.7
multitask,True,4,after_joint,T1,0.875,25.32583395815423,52.1
multitask,True,4,after_joint,T3,1.0,19.470184602503206,32.275
finetune,True,0,after_T1,T1,1.0,17.0891645587514,25.675
finetune,True,0,after_T3,T1,0.0,-0.07019820217794041,64.0
finetune,True,0,after_T3,T3,1.0,16.390685512891924,23.25
finetune,True,1,after_T1,T1,1.0,15.447346012452329,20.2
finetune,True,1,after_T3,T1,1.0,17.712634500252317,28.275
finetune,True,1,after_T3,T3,1.0,17.659289603076147,26.65
finetune,True,2,after_T1,T1,1.0,16.312189069376124,22.65
finetune,True,2,after_T3,T1,0.0,8.280008647078938,64.0
finetune,True,2,after_T3,T3,1.0,19.293210356169237,32.65
finetune,True,3,after_T1,T1,1.0,18.37920122282116,28.5
finetune,True,3,after_T3,T1,1.0,20.47751378335969,38.225
finetune,True,3,after_T3,T3,1.0,15.90689102849926,21.525
finetune,True,4,after_T1,T1,1.0,17.5549373915793,26.425
finetune,True,4,after_T3,T1,1.0,18.794436275729176,29.525
finetune,True,4,after_T3,T3,1.0,16.623329585832245,23.35
kl,True,0,after_T1,T1,1.0,17.0891645587514,25.675
kl,True,0,after_T3,T1,1.0,17.230883685106157,26.35
kl,True,0,after_T3,T3,1.0,16.32589879448584,23.1
kl,True,1,after_T1,T1,1.0,15.447346012452329,20.2
kl,True,1,after_T3,T1,1.0,15.3542665477121,20.05
kl,True,1,after_T3,T3,1.0,16.718555717108096,23.2
kl,True,2,after_T1,T1,1.0,16.312189069376124,22.65
